REGIONID,MONTH,TOT_MIN,TOT_MAX,INT_MIN,INT_MAX
QLD1,3,4403,10070,2021-03-28T11:00:00Z,2023-03-17T17:30:00Z
QLD1,4,3487,8648,2023-04-09T12:00:00Z,2024-04-03T17:30:00Z
QLD1,5,3569,8085,2024-05-19T13:00:00Z,2023-05-29T18:30:00Z
QLD1,6,3851,8462,2024-06-16T13:00:00Z,2024-06-17T18:30:00Z
QLD1,7,3500,8867,2024-07-20T13:00:00Z,2024-07-17T18:30:00Z
QLD1,8,3096,8113,2024-08-18T13:00:00Z,2024-08-01T19:00:00Z
QLD1,9,3193,7967,2024-09-22T13:00:00Z,2024-09-02T18:00:00Z
QLD1,10,3091,8337,2024-10-05T10:30:00Z,2023-10-25T19:00:00Z
QLD1,11,3618,9106,2024-11-24T11:00:00Z,2024-11-07T17:30:00Z
QLD1,12,3620,9814,2024-12-26T11:30:00Z,2024-12-08T18:00:00Z
SA1,1,62,3240,2025-01-01T12:30:00Z,2019-01-24T19:00:00Z
SA1,2,-58,3318,2025-02-16T14:00:00Z,2025-02-12T19:00:00Z
SA1,3,74,2873,2025-03-30T13:30:00Z,2025-03-30T19:30:00Z
SA1,4,157,2274,2023-04-02T13:30:00Z,2018-04-11T18:00:00Z
SA1,5,400,2343,2024-05-05T13:00:00Z,2022-05-31T19:00:00Z
SA1,6,563,2564,2024-06-02T13:30:00Z,2019-06-24T18:30:00Z
SA1,7,537,2628,2022-07-23T13:30:00Z,2021-07-22T18:30:00Z
SA1,8,189,2576,2024-08-24T13:30:00Z,2020-08-07T19:00:00Z
SA1,9,1,2327,2016-09-28T17:00:00Z,2016-09-14T19:00:00Z
SA1,10,-205,2282,2024-10-19T13:00:00Z,2019-10-31T18:00:00Z
SA1,11,-52,2694,2024-11-17T14:00:00Z,2019-11-20T19:00:00Z
SA1,12,-47,3218,2024-12-22T13:00:00Z,2019-12-19T19:00:00Z
TAS1,1,756,1342,2019-01-27T16:30:00Z,2023-01-17T18:00:00Z
TAS1,2,552,1385,2015-02-23T01:30:00Z,2023-02-22T07:00:00Z
TAS1,3,776,1434,2017-03-12T22:30:00Z,2015-03-27T07:30:00Z
TAS1,4,544,1508,2024-04-12T11:30:00Z,2021-04-20T18:00:00Z
TAS1,5,782,1679,2016-05-01T04:30:00Z,2022-05-31T18:00:00Z
TAS1,6,929,1724,2016-06-08T03:30:00Z,2019-06-24T08:30:00Z
TAS1,7,792,1750,2016-07-17T01:00:00Z,2024-07-05T08:30:00Z
TAS1,8,952,1690,2020-08-31T00:00:00Z,2015-08-03T18:30:00Z
TAS1,9,847,1665,2024-09-28T14:00:00Z,2017-09-05T08:30:00Z
TAS1,10,733,1509,2022-10-14T10:00:00Z,2016-10-13T07:00:00Z
TAS1,11,711,1456,2020-11-29T08:30:00Z,2022-11-15T07:00:00Z
TAS1,12,552,1392,2014-12-21T16:00:00Z,2022-12-15T07:00:00Z
VIC1,1,1504,9667,2025-01-01T12:30:00Z,2020-01-31T17:00:00Z
VIC1,2,2274,9570,2024-02-24T13:30:00Z,2025-02-03T19:00:00Z
VIC1,3,2074,9363,2025-03-22T13:30:00Z,2025-03-22T19:00:00Z
VIC1,4,2640,6927,2023-04-02T13:00:00Z,2021-04-20T18:30:00Z
VIC1,5,2923,8158,2024-05-12T13:30:00Z,2022-05-31T18:00:00Z
VIC1,6,3564,8328,2023-06-04T13:00:00Z,2024-06-24T18:30:00Z
VIC1,7,3175,8612,2023-07-30T12:30:00Z,2024-07-15T18:00:00Z
VIC1,8,2471,8195,2024-08-24T13:30:00Z,2024-08-01T08:30:00Z
VIC1,9,1937,7500,2024-09-28T12:00:00Z,2017-09-05T19:00:00Z
VIC1,10,1712,7064,2024-10-26T13:00:00Z,2015-10-06T14:30:00Z
VIC1,11,1768,8791,2024-11-03T12:30:00Z,2017-11-29T17:00:00Z
VIC1,12,1564,9851,2023-12-31T13:00:00Z,2024-12-16T17:00:00Z
